Product,Date,Gross Sales,Amount
3,1,282.46,33
2,1,321.37,74
2,1,48.39,12
2,1,144.35,31
4,1,98.65,16
5,1,72.29,63
2,1,111.96,8
3,1,15.59,89
2,1,100.39,6
5,1,283.93,29
5,1,392.24,16
2,1,342.11,23
5,1,7.45,62
1,1,43.6,96
5,1,197.94,52
3,1,102.59,54
3,1,44.43,43
5,1,113.66,32
4,1,215.89,54
2,1,275.05,74
2,1,8.96,61
5,1,271.92,95
4,1,215.3,37
5,1,55.61,4
2,1,101.8,61
5,1,293.08,37
4,1,38.43,90
5,1,294.86,63
1,1,165.5,4
3,1,371.14,38
5,1,17.2,2
2,1,233.59,46
5,1,251.24,93
5,1,121.98,8
1,1,3.45,14
2,1,8.51,97
1,1,180.28,32
5,1,186.54,59
4,1,19.54,68
1,1,54.59,16
5,1,7.09,58
1,1,51.04,71
4,1,86.97,29
5,1,81.94,37
5,1,125.49,85
5,1,249.34,43
1,1,99.58,98
4,1,185.01,6
4,1,27.76,51
2,1,447.7,96
1,1,46.52,57
4,1,190.78,57
4,1,1.83,18
2,1,95.36,53
3,1,3.56,78
4,1,46.49,33
4,1,152.48,74
1,1,51.76,30
2,1,206.43,42
2,1,81.25,9
1,1,141.28,56
4,1,83.64,43
1,1,0.8,7
2,1,15.46,83
2,1,93.53,7
5,1,20.93,50
3,1,93.98,92
4,1,85.89,85
3,1,108.27,34
4,1,21.38,9
2,1,49.4,70
1,1,156.4,16
5,1,140.85,96
2,1,83.21,75
4,1,134.83,63
1,1,157.12,44
3,1,52.25,31
3,1,68.23,33
1,1,85.65,7
1,1,6.01,52
2,1,12.27,94
2,1,307.17,89
3,1,177.95,64
2,1,266.47,43
1,1,257.76,34
5,1,44.55,7
5,1,351.12,52
3,1,327.92,99
5,1,157.38,50
5,1,115.1,81
4,1,41.24,89
5,1,300.89,8
1,1,141.75,34
1,1,168.29,9
2,1,197.31,48
2,1,346.4,84
2,1,114.31,29
3,1,178.91,20
4,1,241.93,6
2,1,30.29,31
1,1,90.76,39
4,1,83.58,61
2,1,273.26,55
5,1,44.28,18
2,1,46.68,48
5,1,1.89,18
1,1,51.26,71
2,1,44.13,29
1,1,21.78,65
4,1,283.6,25
1,1,195.58,56
2,1,115.24,40
5,1,125.12,20
5,1,157.34,2
5,1,258.97,52
3,1,121.03,91
1,1,317.73,65
3,1,5.3,31
2,1,286.29,60
2,1,154.27,69
4,1,274.31,21
1,1,3.11,53
5,1,15.7,97
2,1,58.51,2
3,1,145.25,88
1,1,94.24,29
5,1,181.11,82
2,1,21.23,91
3,1,121.17,7
4,1,42.06,4
2,1,73.67,5
1,1,160.52,50
5,1,18.18,49
1,1,1.61,1
4,1,21.98,35
5,1,141.15,8
5,1,326.76,90
2,1,95.09,43
3,1,1.28,38
2,1,167.22,12
1,1,164.41,10
3,1,40.46,25
4,1,4.28,98
2,1,31.42,94
5,1,18.42,4
1,1,77.3,41
2,1,72.35,32
2,1,25.42,77
1,1,96.91,37
2,1,22.86,29
4,1,26.89,65
4,1,235.19,10
3,1,25.96,63
5,1,14.63,80
1,1,0.81,61
1,1,257.81,50
3,1,138.98,48
1,1,7.28,46
2,1,14.82,32
1,1,32.69,45
4,1,20.52,60
5,1,37.92,54
5,1,338.91,77
4,1,50.65,22
3,1,89.53,4
1,1,140.09,3
5,1,78.42,85
3,1,122.43,78
3,1,19.86,66
3,1,160.55,99
5,1,208.94,37
4,1,2.74,26
2,1,57.8,90
4,1,22.24,5
5,1,79.49,18
2,1,87.54,18
2,1,290.85,69
5,1,0.14,67
4,1,105.61,34
1,1,32.32,58
4,1,20.01,47
5,1,82.05,100
3,1,235.77,34
4,1,81.91,62
2,1,12.26,39
1,1,107.54,97
2,1,172.85,76
3,1,36.13,10
1,1,144.59,5
1,1,95.93,59
4,1,38.47,2
2,1,50.12,68
2,1,9.15,66
2,1,132.7,59
4,1,376.45,85
3,1,163.94,20
4,1,71.81,48
5,1,436.28,73
3,1,97.46,98
1,1,298.22,11
4,1,69.54,18
4,1,72.81,21
5,1,325.91,100
3,1,18.44,90
3,1,344.5,80
1,1,280.87,42
1,1,68.52,63
4,1,47.57,81
3,1,62.04,59
1,1,178.52,21
5,1,73.5,87
5,1,138.06,69
4,1,299.67,27
3,1,16.98,86
1,1,13.29,4
2,1,21.88,55
5,1,30.78,21
3,1,221.08,7
4,1,363.47,41
5,1,14.01,21
5,1,263.37,9
3,1,113.36,8
1,1,86.19,65
2,1,52.63,74
5,1,203.95,51
3,1,2.22,25
2,1,368.72,15
3,1,43.67,75
1,1,277.78,12
1,1,233.37,91
5,1,193.28,94
4,1,82.67,96
4,1,7.05,20
5,1,178.92,63
5,1,199.11,49
2,1,1.9,84
4,1,10.99,98
1,1,230.31,25
2,1,40.18,95
1,1,1.72,53
1,1,1.45,89
4,1,7.31,30
5,1,116.63,73
2,1,38.96,28
2,1,1.29,30
1,1,18.86,9
5,1,119.93,26
1,1,11.8,13
5,1,1.73,85
1,1,52.47,19
5,1,152.6,28
3,1,18.74,70
2,1,3.64,86
3,1,99.89,70
3,1,211.64,63
2,1,255.86,86
1,1,385.38,26
1,1,24.54,46
4,1,146.03,16
5,1,162.29,39
1,1,181.48,3
2,1,181.98,27
1,1,61.91,27
5,1,47.65,92
4,1,55.87,63
1,1,9.6,75
5,1,106.89,13
5,1,422.46,32
1,1,54.93,24
5,1,61.36,83
3,1,50.26,92
2,1,12.64,22
2,1,143.29,80
3,1,1.63,19
2,1,41.65,60
4,1,16.56,69
2,1,65.45,8
5,1,217.73,80
2,1,151.59,41
3,1,74.31,62
5,1,40.09,53
2,1,21.47,49
1,1,80.06,49
3,1,210.17,13
2,1,431.43,14
3,1,86.27,91
5,1,178.2,24
4,1,124.79,50
2,1,93.2,67
1,1,29.89,74
4,1,2.98,48
5,1,150.27,32
3,1,442.1,58
3,1,193.5,77
3,1,210.22,94
5,1,136.71,33
4,1,259.82,18
1,1,138.42,99
3,1,246.01,31
2,1,0.74,39
2,1,285.64,10
1,1,22.08,62
2,1,126.2,18
1,1,42.77,35
1,1,49.27,79
5,1,200.22,43
3,1,123.97,25
2,1,60.44,73
1,1,109.55,79
4,1,33.66,27
5,1,142.35,92
1,1,65.13,22
3,1,5.11,10
1,1,159.79,94
5,1,270.95,34
1,1,312.13,46
1,1,31.91,90
3,1,142.94,90
2,1,23.1,28
2,1,9.13,56
1,1,55.19,43
4,1,36.71,45
2,1,288.57,34
1,1,86.19,92
5,1,31.01,6
5,1,168.28,59
2,1,26.53,19
1,1,20.76,21
5,1,52.68,33
5,1,235.13,68
5,1,26.85,17
4,1,35.46,2
4,1,145,54
5,1,48.27,55
3,1,36.74,41
5,1,145.87,14
2,1,328.57,92
2,1,97.35,12
3,1,43.43,27
5,1,2.56,33
1,1,21.18,86
1,1,29.27,9
2,1,275.01,70
1,1,207.76,54
2,1,17.01,31
5,1,4.78,35
4,1,81.37,66
2,1,357.51,86
2,1,306.55,3
1,1,4.81,21
4,1,20.04,13
5,1,64.17,36
5,1,139.04,51
4,1,14.61,95
2,1,194.8,48
1,1,36.88,32
1,1,123.22,91
2,1,124.53,92
2,1,12.22,94
3,1,130.89,44
5,1,29.32,85
3,1,88.06,69
1,1,4.29,33
2,1,48.99,43
4,1,62.2,54
4,1,304.19,56
5,1,203.54,57
3,1,81.45,60
3,1,314.89,56
5,1,213.82,4
3,1,23.92,55
5,1,12.1,55
4,1,9.51,46
1,1,344.49,50
4,1,92.02,90
5,1,36.58,76
1,1,273.89,97
4,1,24.36,100
5,1,337.17,16
4,1,37.37,84
4,1,8.57,33
3,1,8.48,49
5,1,237.13,84
1,1,49.66,14
4,1,195.67,33
5,1,71.07,41
4,1,78.85,61
2,1,218.58,94
3,1,251.02,63
5,1,6.39,73
3,1,358.4,25
5,1,113.86,4
4,1,422.26,80
2,1,248.23,23
4,1,125.41,87
5,1,99.83,93
4,1,26.98,74
5,1,281.83,96
5,1,134.06,78
1,1,30.21,14
4,1,178.36,36
3,1,298.74,19
2,1,7.4,82
2,1,214.47,1
3,1,247.15,15
5,1,98.01,72
4,1,82.56,92
2,1,191.52,28
2,1,189.03,93
5,1,18.92,55
4,1,177.56,14
2,1,5.97,76
3,1,158.5,26
5,1,17.45,37
3,1,118.94,60
4,1,63.86,100
1,1,13.94,44
5,1,75.84,61
2,1,0.89,36
4,1,203.15,83
3,1,84.45,37
4,1,46.05,96
2,1,239.79,31
3,1,13.64,21
4,1,159.33,29
4,1,40.47,58
2,1,30.39,50
5,1,151.87,10
2,1,161.26,25
3,1,28.38,33
5,1,314.6,96
2,1,86.95,94
4,1,254.91,13
1,1,80.38,78
3,1,10.75,50
3,1,203.04,55
1,1,0.24,10
3,1,348.5,77
4,1,158.64,84
1,1,108.18,85
5,1,23.83,28
1,1,37.24,91
4,1,395.4,36
2,1,49.2,43
3,1,0.06,79
3,1,140.88,27
4,1,128.97,70
5,1,322.06,11
2,1,130.2,12
1,1,268.67,81
1,1,203.57,22
1,1,2.34,61
4,1,162.04,28
5,1,366.68,88
1,1,46.96,59
1,1,78.99,57
5,1,6.82,33
3,1,79.28,5
2,1,262.82,14
5,1,87.54,28
4,1,23.21,23
4,1,89.75,43
4,1,9.47,55
3,1,3.15,72
3,1,5.52,30
2,1,283.58,68
4,1,22,55
5,1,31.52,14
4,1,251.2,24
1,1,33.87,10
1,1,102.39,54
3,1,123.3,10
3,1,51.37,17
1,1,17.9,30
3,1,29.65,45
2,1,79.35,26
2,1,29.12,54
5,1,24.8,10
3,1,165.73,29
2,1,43.09,57
4,1,344.6,74
1,1,19.99,48
3,1,171.95,40
4,1,18.82,64
3,1,271.57,21
2,1,36.54,64
2,1,273.91,19
2,1,12.28,41
5,1,125.28,50
2,1,286.81,16
1,1,366.74,4
3,1,94.66,57
5,1,262.9,28
3,1,43.94,4
4,1,99.59,38
4,1,23.1,65
2,1,426.55,57
1,1,110.95,94
4,1,369.14,99
1,1,57.76,71
2,1,70.32,80
2,1,62.81,27
5,1,44.55,44
2,1,126.54,67
4,1,11.33,27
2,1,10.41,73
2,1,104,53
5,1,91.02,93
3,1,110.18,83
4,1,39.05,17
4,1,308.1,2
2,1,133.9,74
5,1,17.22,24
3,1,35.51,93
4,1,131.86,66
3,1,10.92,29
4,1,9.53,38
5,1,3.43,39
4,1,7.9,64
2,1,236.23,88
2,1,303.53,99
5,1,52.32,34
5,1,114.85,83
1,1,27.46,30
3,1,46.3,34
4,1,269.3,29
2,1,87.77,39
4,1,23.11,19
2,1,122.17,99
1,1,107.82,75
5,1,349.12,6
4,1,224.69,68
1,1,50.48,76
5,1,8.78,33
1,1,367.04,29
2,1,76,57
4,1,91.32,35
2,1,224.15,38
2,1,119.33,55
4,1,40.71,27
2,1,9.31,44
2,1,146.99,87
2,1,81.77,24
4,1,23.89,89
2,1,153.78,40
3,1,26.91,59
1,1,11.29,69
1,1,45.85,70
5,1,372.1,70
3,1,66.23,82
3,1,2.9,18
3,1,346.05,66
5,1,45.97,36
3,1,68.67,76
5,1,78.49,82
1,1,96.37,14
2,1,58.11,16
4,1,215.43,57
2,1,163.71,21
2,1,11.36,91
5,1,149.57,22
1,1,66.56,16
2,1,368.41,7
4,1,335.41,53
2,1,333.19,31
4,1,4.58,58
2,1,80.92,24
2,1,240.15,70
2,1,10.1,24
3,1,106.15,47
2,1,413.86,56
3,1,1.86,38
2,1,11.25,5
3,1,17.13,72
2,1,158.75,97
3,1,247.05,13
3,1,114.83,9
3,1,172.76,66
2,1,61.3,46
3,1,218.53,37
4,1,106.94,81
1,1,16.7,51
2,1,61.92,4
1,1,132.21,48
2,1,214.26,18
5,1,0.04,35
5,1,60.71,81
1,1,456.66,29
3,1,208.43,96
4,1,89.28,58
4,1,67.1,4
4,1,44.66,9
3,1,28.56,18
4,1,205.92,68
3,1,141.68,73
5,1,137.84,67
5,1,321.85,86
2,1,105.18,84
2,1,348.41,75
3,1,136.09,91
1,1,294.78,90
5,1,84.51,28
3,1,2.89,23
4,1,75.28,46
2,1,323.59,1
2,1,341.14,11
5,1,175.65,45
1,1,24.5,22
2,1,41.53,57
5,1,352.74,1
2,1,28.07,13
2,1,55.54,51
2,1,89.1,59
4,1,68.89,80
1,1,242.88,23
3,1,225.49,68
4,1,39.59,44
3,1,63.85,36
2,1,194.34,25
5,1,351.14,31
2,1,82.67,60
4,1,6.31,46
4,1,60.79,19
5,1,33.21,8
5,1,0.12,73
5,1,255.63,21
2,1,229.97,62
4,1,93.59,22
5,1,32.24,100
5,1,52.16,2
3,1,58.64,61
4,1,94.54,52
3,1,438.4,16
4,1,44.96,20
4,1,2.19,13
4,1,63.69,35
2,1,0.04,76
5,1,328.91,14
5,1,100.86,72
1,1,479.5,10
5,1,144.88,7
3,1,34.72,10
3,1,289.99,61
4,1,21.56,96
1,1,42.71,11
4,1,329.55,68
2,1,158.66,77
5,1,35.79,10
1,1,127.94,94
1,1,213.61,43
3,1,69.43,23
4,1,10.62,52
1,1,4.29,46
1,1,165.42,9
5,1,95.38,56
5,1,153.87,19
2,1,257.03,92
4,1,381.44,48
3,1,88.65,97
5,1,153.41,98
1,1,249.4,2
3,1,154.73,81
1,1,35.43,2
2,1,20.39,89
4,1,198.4,76
1,1,10.73,5
5,1,170.77,44
4,1,397.11,91
1,1,133.84,3
3,1,101.17,24
3,1,102.01,12
4,1,76.05,17
3,1,118.25,62
3,1,385.71,86
2,1,98.4,95
4,1,124.25,68
4,1,294.01,52
3,1,15.11,35
3,1,19.67,90
1,1,499.3,100
1,1,98.13,25
2,1,50.68,15
4,1,80.69,21
4,1,47.25,84
1,1,74.43,15
5,1,304.35,88
5,1,17.63,20
5,1,43.12,53
4,1,103.62,5
4,1,53.18,16
4,1,333.4,49
5,1,142.71,16
3,1,117.84,4
4,1,390.14,51
5,1,50.41,14
5,1,403.52,20
5,1,80.97,98
3,1,289.1,77
3,1,80.04,3
4,1,56.33,94
4,1,37.8,63
5,1,164.56,61
3,1,19.03,35
5,1,0.55,34
3,1,46.23,86
4,1,41.47,63
2,1,35.24,61
5,1,43.81,53
1,1,312.29,15
3,1,37.41,98
5,1,281.09,70
4,1,159.38,7
1,1,260.67,35
4,1,20.63,39
1,1,256.66,90
3,1,35.55,52
2,1,9.04,25
4,1,71.55,33
5,1,170.66,98
3,1,42.51,11
2,1,187.03,93
